ACARA School ID,School Name,Suburb,PostCode
40000,Corpus Christi Catholic School,BELLERIVE,7018
40003,Holy Rosary Catholic School,CLAREMONT,7011
40006,Larmenier Catholic School,ST LEONARDS,7250
40008,St James' Catholic College,CYGNET,7112
40009,Our Lady of Lourdes Catholic School,DEVONPORT,7310
40011,Sacred Heart Catholic School,ULVERSTONE,7315
40012,Sacred Heart Catholic School,GEEVESTON,7116
40014,St Anthony's Catholic School,RIVERSIDE,7250
40015,St Peter Chanel Catholic School,SMITHTON,7330
40017,St Brigid's Catholic School,WYNYARD,7325
40020,St Joseph's Catholic School,ROSEBERY,7470
40023,St Patrick's Catholic School,LATROBE,7307
40026,Star of the Sea Catholic College,GEORGE TOWN,7253
40028,The Friends School,NORTH HOBART,7000
40029,The Hutchins School,SANDY BAY,7005
40031,Launceston Christian School,LAUNCESTON,7250
40032,Leighland Christian School,ULVERSTONE,7315
40035,St Michael's Collegiate School,HOBART,7000
40036,Scotch Oakburn College,NEWSTEAD,7250
40038,The Launceston Preparatory School,LAUNCESTON,7250
40042,St Paul's Catholic School,BRIDGEWATER,7030
40045,Brooks High School,ROCHERLEA,7248
40048,Ravenswood Heights Primary School,RAVENSWOOD,7250
40051,Reece High School,DEVONPORT,7310
40053,Wynyard High School,WYNYARD,7325
40054,Cosgrove High School,GLENORCHY,7010
40057,Geeveston Primary School,GEEVESTON,7116
40058,Huonville High School,HUONVILLE,7109
40060,Bothwell District High School,BOTHWELL,7030
40061,Deloraine High School,DELORAINE,7304
40063,New Norfolk High School,NEW NORFOLK,7140
40066,Rosebery District High School,ROSEBERY,7470
40069,Triabunna District School,TRIABUNNA,7190
40072,Cressy District High School,CRESSY,7302
40074,Exeter High School,EXETER,7275
40075,King Island District High School,CURRIE,7256
40077,Kings Meadows High School,KINGS MEADOWS,7249
40078,Ogilvie High School,NEW TOWN,7008
40080,Prospect High School,PROSPECT,7250
40081,Riverside High School,RIVERSIDE,7250
40083,Sorell School,SORELL,7172
40086,Winnaleah District High School,WINNALEAH,7265
40092,Invermay Primary School,INVERMAY,7248
40097,Queechy High School,NORWOOD,7250
40098,Devonport High School,DEVONPORT,7310
40100,Albuera Street Primary School,BATTERY POINT,7004
